,AF,AFL,BBB,Brady,LBBB,RBBB,IdAVb,LAD,LAnFB,LPR,LQRSV,LQT,NSIVCB,NSR,PAC,PR,PRWP,PVC,QAb,RAD,SA,SB,ST,SVPB,TAb,TInv,VPB
AF,1.0,0.5,0.475,0.3,0.475,0.4,0.3,0.35,0.35,0.3,0.425,0.45,0.35,0.25,0.3375,0.375,0.425,0.375,0.4,0.35,0.3,0.3,0.375,0.3375,0.5,0.5,0.375
AFL,0.5,1.0,0.475,0.3,0.475,0.4,0.3,0.35,0.35,0.3,0.425,0.45,0.35,0.25,0.3375,0.375,0.425,0.375,0.4,0.35,0.3,0.3,0.375,0.3375,0.5,0.5,0.375
BBB,0.475,0.475,1.0,0.325,0.475,0.425,0.325,0.375,0.375,0.325,0.45,0.475,0.375,0.275,0.3625,0.4,0.45,0.4,0.375,0.375,0.325,0.325,0.4,0.3625,0.475,0.475,0.4
Brady,0.3,0.3,0.325,1.0,0.325,0.4,0.5,0.45,0.45,0.5,0.375,0.35,0.45,0.45,0.4625,0.425,0.375,0.425,0.2,0.45,0.5,0.5,0.425,0.4625,0.3,0.3,0.425
LBBB,0.475,0.475,0.475,0.325,1.0,0.425,0.325,0.375,0.375,0.325,0.45,0.475,0.375,0.275,0.3625,0.4,0.45,0.4,0.375,0.375,0.325,0.325,0.4,0.3625,0.475,0.475,0.4
RBBB,0.4,0.4,0.425,0.4,0.425,1.0,0.4,0.45,0.45,0.4,0.475,0.45,0.45,0.35,0.4375,0.475,0.475,0.475,0.3,0.45,0.4,0.4,0.475,0.4375,0.4,0.4,0.475
IdAVb,0.3,0.3,0.325,0.5,0.325,0.4,1.0,0.45,0.45,0.5,0.375,0.35,0.45,0.45,0.4625,0.425,0.375,0.425,0.2,0.45,0.5,0.5,0.425,0.4625,0.3,0.3,0.425
LAD,0.35,0.35,0.375,0.45,0.375,0.45,0.45,1.0,0.5,0.45,0.425,0.4,0.5,0.4,0.4875,0.475,0.425,0.475,0.25,0.5,0.45,0.45,0.475,0.4875,0.35,0.35,0.475
LAnFB,0.35,0.35,0.375,0.45,0.375,0.45,0.45,0.5,1.0,0.45,0.425,0.4,0.5,0.4,0.4875,0.475,0.425,0.475,0.25,0.5,0.45,0.45,0.475,0.4875,0.35,0.35,0.475
LPR,0.3,0.3,0.325,0.5,0.325,0.4,0.5,0.45,0.45,1.0,0.375,0.35,0.45,0.45,0.4625,0.425,0.375,0.425,0.2,0.45,0.5,0.5,0.425,0.4625,0.3,0.3,0.425
